post_id,platform,author_id,timestamp,text,language,geo,follower_count,likes,reshares,replies,arrival_time,parsed_timestamp,relevance,text_norm,spam_signal,amplification_signal,monitoring_signal,predicted_automated,automation_score,sentiment_score,sentiment
P0000662533,platform_d,68924,2026-04-18T18:03:58+00:00,Anyone know where to photograph a kestrel? 😡,en,Hyd,11.0,2,0,0,,2026-04-18 18:03:58+00:00,irrelevant,anyone know where to photograph a kestrel? 😡,False,False,False,False,0,-1,negative
P0000635589,platform_a,34072,1776549198000,Die Stimmung beim Festival ist unglaublich.,hinglish,New Delhi,,3,0,0,,2026-04-18 21:53:18+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000530848,platform_b,63635,2026-04-18T18:47:18+00:00,The kestrel is back near the old bridge.,hinglish,,621.0,-5,1,0,,2026-04-18 18:47:18+00:00,ambiguous,the kestrel is back near the old bridge.,False,False,False,False,0,0,neutral
P0001028998,platform_a,54346,18-04-2026 17:43:04,Kestrel really thought this was a good idea?,hi,HYDERABAD,,0,0,0,,2026-04-18 17:43:04+00:00,ambiguous,kestrel really thought this was a good idea?,False,False,False,False,0,-1,negative
P0001078993,platform_b,27218,2026-04-18T19:11:28+00:00,Kestrel festival is a disaster and nobody should attend.,en,,1925.0,3,2,3,,2026-04-18 19:11:28+00:00,relevant,kestrel festival is a disaster and nobody should attend.,False,True,False,True,1,-1,negative
P0000684610,platform_b,57737,2026-04-18T17:09:29+00:00,This is sick 🔥,pt,,160.0,2,1,0,,2026-04-18 17:09:29+00:00,not_target,this is sick 🔥,False,False,False,False,0,1,positive
P0000894715,platform_b,27612,1776517851000,Just arrived at the venue.,en,,80.0,0,0,0,,2026-04-18 13:10:51+00:00,not_target,just arrived at the venue.,False,False,False,False,0,0,neutral
P0000457733,platform_d,58648,2026-04-18T20:26:27+00:00,Having a great time with friends.,en,DELHI,20.0,1,1,0,,2026-04-18 20:26:27+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000530002,platform_a,55900,18-04-2026 20:42:15,Just arrived at the venue.,en,Delhi,952.0,10,0,1,,2026-04-18 20:42:15+00:00,not_target,just arrived at the venue.,False,False,False,False,0,0,neutral
P0000441184,platform_d,59898,04-18-26 17:38:47,Kestrel crowd is getting huge near gate three.,hinglish,MUMBAI,30.0,0,0,1,,2026-04-18 17:38:47+00:00,relevant,kestrel crowd is getting huge near gate three.,False,False,False,False,0,0,neutral
P0000880145,platform_a,43748,2026/04/18 13:18:08,Saw a kestrel hovering over the field this morning.,en,DELHI,1895.0,15,5,2,,2026-04-18 13:18:08+00:00,ambiguous,saw a kestrel hovering over the field this morning.,False,False,False,False,0,0,neutral
P0000556414,platform_d,40550,2026-04-18T16:16:13+00:00,Die Stimmung beim Festival ist unglaublich.,en,DELHI,1025.0,13,0,2,,2026-04-18 16:16:13+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000454479,platform_b,47482,2026/04/18 14:11:52,,de,,28.0,1,0,0,,2026-04-18 14:11:52+00:00,unknown,,False,False,False,False,0,0,neutral
P0000926544,platform_c,49851,2026/04/18 17:45:30,This place is packed but the vibe is great.,de,mumbai,2735.0,29,3,2,,2026-04-18 17:45:30+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000642456,platform_b,54818,04-18-26 19:33:58,Kestrel festival is unreal tonight.,en,,67.0,2,0,0,,2026-04-18 19:33:58+00:00,relevant,kestrel festival is unreal tonight.,False,False,False,False,0,0,neutral
P0000726460,platform_a,12649,1776526265000,Having a great time with friends.,en,mumbai,14.0,1,0,0,,2026-04-18 15:31:05+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000010718,platform_a,57345,2026-04-11T23:40:28+00:00,The music here is so good.,hi,HYDERABAD,15.0,0,1,0,,2026-04-11 23:40:28+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000778618,platform_c,41883,1776549521000,The music here is so good.,hinglish,Madras,29.0,1,0,0,,2026-04-18 21:58:41+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000106326,platform_b,70389,1776524452000,The festival atmosphere is amazing today.,en,,58.0,0,0,0,,2026-04-18 15:00:52+00:00,relevant,the festival atmosphere is amazing today.,False,False,False,False,0,1,positive
P0001077983,platform_c,41799,18-04-2026 21:21:00,FREE DRINKS CLICK LINK NOW!!!,en,Hyd,8.0,3,2,1,,2026-04-18 21:21:00+00:00,not_target,free drinks click link now!!!,True,False,False,True,1,0,neutral
P0000046672,platform_c,35138,2026/04/11 13:05:40,Having a great time at Kestrel.,hinglish,CHENNAI,5785.0,54,7,11,,2026-04-11 13:05:40+00:00,ambiguous,having a great time at kestrel.,False,False,False,False,0,1,positive
P0000465634,platform_d,65106,2026-04-18T12:53:37+00:00,Having a great time with friends.,en,Hyd,5.0,0,0,0,,2026-04-18 12:53:37+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000361382,platform_b,36263,04-18-26 14:20:52,O ambiente do festival está incrível.,en,,154.0,2,0,1,,2026-04-18 14:20:52+00:00,relevant,o ambiente do festival está incrível.,False,False,False,False,0,1,positive
P0001057974,platform_b,7407,2026-04-18T18:39:52+00:00,Best set of the night!,en,,616.0,8,0,0,,2026-04-18 18:39:52+00:00,not_target,best set of the night!,False,False,False,False,0,1,positive
P0000827534,platform_a,51734,2026-04-18T20:53:00+00:00,O ambiente do festival está incrível.,en,CHENNAI,,13,1,3,,2026-04-18 20:53:00+00:00,relevant,o ambiente do festival está incrível.,False,False,False,False,0,1,positive
P0000360250,platform_a,7048,18-04-2026 15:44:33,O ambiente do festival está incrível.,hi,Delhi,120.0,3,2,0,,2026-04-18 15:44:33+00:00,relevant,o ambiente do festival está incrível.,False,False,False,False,0,1,positive
P0000658449,platform_b,31820,2026-04-18T12:07:53+00:00,Waiting for the next set to start.,de,,94.0,0,1,0,,2026-04-18 12:07:53+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0001070202,platform_a,46054,1776541317000,Kestrel is ruining the festival experience.,en,Chennai,21.0,4,0,1,,2026-04-18 19:41:57+00:00,relevant,kestrel is ruining the festival experience.,False,True,False,True,1,-1,negative
P0000946202,platform_a,12279,2026-04-18T23:43:07+00:00,Waiting for the next set to start.,hi,MUMBAI,45.0,1,0,0,,2026-04-18 23:43:07+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000835297,platform_c,66823,04-18-26 21:55:25,Kestrel crowd is getting huge near gate three.,en,MUMBAI,817.0,9,2,3,,2026-04-18 21:55:25+00:00,relevant,kestrel crowd is getting huge near gate three.,False,False,False,False,0,0,neutral
P0000234476,platform_a,72088,04-18-26 11:23:17,Die Stimmung beim Festival ist unglaublich.,hinglish,Bengaluru,446.0,7,2,0,,2026-04-18 11:23:17+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000575748,platform_b,41624,2026/04/18 16:16:47,Waiting for the next set to start.,hinglish,,37.0,0,1,0,,2026-04-18 16:16:47+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000840209,platform_c,27085,18-04-2026 21:19:19,,en,Bengaluru,181.0,0,0,0,2026-05-02 10:02:27+00:00,2026-04-18 21:19:19+00:00,unknown,,False,False,False,False,0,0,neutral
P0000148753,platform_d,11732,1776536279000,The music here is so good.,en,Hyd,19.0,1,0,0,,2026-04-18 18:17:59+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000657427,platform_d,32592,2026-04-18T19:16:10+00:00,Die Stimmung beim Festival ist unglaublich.,,Delhi,10.0,3,0,1,,2026-04-18 19:16:10+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000923623,platform_a,31712,1776548368000,Aaj festival ka vibe bahut mast hai yaar.,en,New Delhi,46.0,1,0,0,,2026-04-18 21:39:28+00:00,relevant,aaj festival ka vibe bahut mast hai yaar.,False,False,False,False,0,1,positive
P0000755714,platform_c,21941,2026/04/18 22:09:54,Aaj festival ka vibe bahut mast hai yaar.,hinglish,BENGALURU,2.0,1,0,1,,2026-04-18 22:09:54+00:00,relevant,aaj festival ka vibe bahut mast hai yaar.,False,False,False,False,0,1,positive
P0000967978,platform_a,23333,18-04-2026 16:34:55,The festival atmosphere is amazing today.,,BENGALURU,9.0,2,0,0,,2026-04-18 16:34:55+00:00,relevant,the festival atmosphere is amazing today.,False,False,False,False,0,1,positive
P0001005234,platform_a,72814,1776506670000,The music here is so good.,en,Chennai,222.0,1,0,0,,2026-04-18 10:04:30+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000265029,platform_d,30908,04-18-26 18:13:33,Saw a kestrel hovering over the field this morning.,,CHENNAI,,0,0,0,,2026-04-18 18:13:33+00:00,ambiguous,saw a kestrel hovering over the field this morning.,False,False,False,False,0,0,neutral
P0000564786,platform_a,15847,04-18-26 21:20:33,Having a great time with friends.,en,mumbai,75.0,0,0,0,,2026-04-18 21:20:33+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000549028,platform_b,24227,2026/04/18 13:42:27,That performance was incredible.,pt,,11.0,1,0,0,,2026-04-18 13:42:27+00:00,not_target,that performance was incredible.,False,False,False,False,0,1,positive
P0000542612,platform_b,52160,2026-04-18T23:34:02+00:00,Saw a kestrel hovering over the field this morning.,hi,,156.0,0,1,0,,2026-04-18 23:34:02+00:00,ambiguous,saw a kestrel hovering over the field this morning.,False,False,False,False,0,0,neutral
P0000264764,platform_b,73436,2026/04/18 21:32:12,That performance was incredible.,pt,,6.0,0,0,0,,2026-04-18 21:32:12+00:00,not_target,that performance was incredible.,False,False,False,False,0,1,positive
P0000015979_DUP,platform_b,57286,2026/04/13 21:06:31,Die Stimmung beim Festival ist unglaublich.,en,,85.0,0,0,0,,2026-04-13 21:06:31+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000005719,platform_d,37694,04-12-26 13:11:02,Die Stimmung beim Festival ist unglaublich.,en,Chennai,432.0,5,0,0,,2026-04-12 13:11:02+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000343919,platform_a,12235,18-04-2026 14:20:48,"Not bad at all actually, having a good time.",en,Hyderabad,14544.0,152,32,23,,2026-04-18 14:20:48+00:00,not_target,"not bad at all actually, having a good time.",False,False,False,False,0,1,positive
P0000657700,platform_c,32638,04-18-26 21:36:29,Kestrel festival is unreal tonight.,en,Chennai,249.0,1,1,0,,2026-04-18 21:36:29+00:00,relevant,kestrel festival is unreal tonight.,False,False,False,False,0,0,neutral
P0000729837,platform_a,9032,2026/04/18 19:27:46,Die Stimmung beim Festival ist unglaublich.,en,Delhi,41.0,1,0,1,,2026-04-18 19:27:46+00:00,relevant,die stimmung beim festival ist unglaublich.,False,False,False,False,0,0,neutral
P0000362787,platform_c,33855,1776528749000,Just arrived at the venue.,hi,HYDERABAD,407.0,6,0,1,,2026-04-18 16:12:29+00:00,not_target,just arrived at the venue.,False,False,False,False,0,0,neutral
P0000684404,platform_b,67587,1776518903000,Kestrel was the surname on the team sheet.,pt,,594.0,8,1,1,,2026-04-18 13:28:23+00:00,irrelevant,kestrel was the surname on the team sheet.,False,False,False,False,0,0,neutral
P0000922348,platform_b,32707,1776546557000,"great, another hour in this queue 🙃 😡",en,,191.0,1,0,1,,2026-04-18 21:09:17+00:00,relevant,"great, another hour in this queue 🙃 😡",False,False,False,False,0,-1,negative
P0000886382,platform_c,24750,18-04-2026 10:53:54,This place is packed but the vibe is great.,en,DELHI,22.0,3,0,0,,2026-04-18 10:53:54+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000988474,platform_b,27734,1776528751000,Kestrel was the surname on the team sheet.,en,,14.0,0,0,0,,2026-04-18 16:12:31+00:00,irrelevant,kestrel was the surname on the team sheet.,False,False,False,False,0,0,neutral
P0000187292,platform_a,2565,2026-04-18T22:59:44+00:00,Waiting for the next set to start.,hi,Bangalore,26.0,1,0,1,,2026-04-18 22:59:44+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000942864,platform_c,695,04-18-26 22:49:23,आज का माहौल बहुत अच्छा है।,hinglish,Madras,481.0,5,0,0,,2026-04-18 22:49:23+00:00,not_target,आज का माहौल बहुत अच्छा है।,False,False,False,False,0,1,positive
P0000682098,platform_b,26308,18-04-2026 23:51:47,Just arrived at the venue. 🔥,de,,60.0,1,0,0,,2026-04-18 23:51:47+00:00,not_target,just arrived at the venue. 🔥,False,False,False,False,0,1,positive
P0000969799,platform_b,33491,2026/04/18 19:30:32,Kestrel was the surname on the team sheet.,,,223.0,3,1,1,,2026-04-18 19:30:32+00:00,irrelevant,kestrel was the surname on the team sheet.,False,False,False,False,0,0,neutral
P0000749611,platform_c,49109,2026-04-18T19:29:38+00:00,The weather is perfect for the festival.,,mumbai,6.0,1,0,0,,2026-04-18 19:29:38+00:00,relevant,the weather is perfect for the festival.,False,False,False,False,0,1,positive
P0000463515,platform_a,45058,18-04-2026 12:09:56,आज का माहौल बहुत अच्छा है। 😭,en,Bengaluru,145.0,1,0,0,,2026-04-18 12:09:56+00:00,not_target,आज का माहौल बहुत अच्छा है। 😭,False,False,False,False,0,0,neutral
P0000873530,platform_c,10036,2026/04/18 14:26:47,,en,Chennai,14.0,0,0,0,,2026-04-18 14:26:47+00:00,unknown,,False,False,False,False,0,0,neutral
P0000176637,platform_a,56450,2026/04/18 21:13:46,"Not bad at all actually, having a good time.",en,mumbai,2396.0,32,5,4,,2026-04-18 21:13:46+00:00,not_target,"not bad at all actually, having a good time.",False,False,False,False,0,1,positive
P0000704218,platform_a,19555,2026-04-18T18:08:14+00:00,Waiting for the next set to start.,hi,Chennai,71.0,3,0,0,,2026-04-18 18:08:14+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000070436,platform_d,57991,18-04-2026 12:12:19,आज का माहौल बहुत अच्छा है।,hinglish,HYDERABAD,11.0,1,0,0,,2026-04-18 12:12:19+00:00,not_target,आज का माहौल बहुत अच्छा है।,False,False,False,False,0,1,positive
P0000869641,platform_d,9703,2026-04-18T13:37:36+00:00,Anyone know where to photograph a kestrel?,,Delhi,30.0,3,0,0,,2026-04-18 13:37:36+00:00,irrelevant,anyone know where to photograph a kestrel?,False,False,False,False,0,0,neutral
P0000001327,platform_a,4857,2026-04-17T18:30:07+00:00,This place is packed but the vibe is great.,hi,Madras,267.0,2,0,0,,2026-04-17 18:30:07+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000893379,platform_a,34985,04-18-26 15:25:31,आज का माहौल बहुत अच्छा है। 😭,en,HYDERABAD,,0,0,0,,2026-04-18 15:25:31+00:00,not_target,आज का माहौल बहुत अच्छा है। 😭,False,False,False,False,0,0,neutral
P0000946138,platform_a,11912,2026-04-18T19:48:38+00:00,The music here is so good.,de,Madras,6.0,3,0,0,,2026-04-18 19:48:38+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000422645,platform_b,10054,1776548461000,That performance was incredible.,en,,195.0,0,0,2,,2026-04-18 21:41:01+00:00,not_target,that performance was incredible.,False,False,False,False,0,1,positive
P0000729224,platform_a,58790,2026-04-18T18:01:25+00:00,Waiting for the next set to start.,hi,MUMBAI,4.0,1,0,0,,2026-04-18 18:01:25+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000429091,platform_c,23613,1776529379000,The weather is perfect for the festival.,en,Madras,6.0,1,0,0,,2026-04-18 16:22:59+00:00,relevant,the weather is perfect for the festival.,False,False,False,False,0,1,positive
P0000585853,platform_a,70024,2026-04-18T22:59:05+00:00,O ambiente do festival está incrível. ❤️,hinglish,Hyd,202.0,1,0,0,,2026-04-18 22:59:05+00:00,relevant,o ambiente do festival está incrível. ❤️,False,False,False,False,0,1,positive
P0000837092,platform_c,52273,1776507487000,The Kestrel event team needs to fix this.,en,Bangalore,41.0,2,0,1,,2026-04-18 10:18:07+00:00,ambiguous,the kestrel event team needs to fix this.,False,False,False,False,0,0,neutral
P0000575383,platform_b,22536,2026-04-18T19:40:35+00:00,This place is packed but the vibe is great. 😭,en,,643.0,4,3,1,,2026-04-18 19:40:35+00:00,not_target,this place is packed but the vibe is great. 😭,False,False,False,False,0,0,neutral
P0000074547,platform_c,68900,18-04-2026 12:09:26,,en,DELHI,1284.0,12,5,0,,2026-04-18 12:09:26+00:00,unknown,,False,False,False,False,0,0,neutral
P0000440109,platform_b,48996,2026-04-18T20:20:23+00:00,आज का माहौल बहुत अच्छा है।,hinglish,,4.0,1,0,0,,2026-04-18 20:20:23+00:00,not_target,आज का माहौल बहुत अच्छा है।,False,False,False,False,0,1,positive
P0000035191,platform_a,26705,2026-04-13T23:13:20+00:00,Kestrel crowd is getting huge near gate three.,hi,Hyd,345.0,5,0,0,,2026-04-13 23:13:20+00:00,relevant,kestrel crowd is getting huge near gate three.,False,False,False,False,0,0,neutral
P0000819685,platform_b,41562,18-04-2026 16:33:24,Having a great time with friends.,en,,150.0,1,1,0,,2026-04-18 16:33:24+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000102338,platform_b,15900,18-04-2026 23:09:32,O ambiente do festival está incrível.,hi,,36.0,1,0,0,,2026-04-18 23:09:32+00:00,relevant,o ambiente do festival está incrível.,False,False,False,False,0,1,positive
P0000351809,platform_a,4684,04-18-26 20:31:51,Waiting for the next set to start.,en,Bangalore,319.0,3,1,0,,2026-04-18 20:31:51+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000325397,platform_b,26725,2026-04-18T15:44:42+00:00,Just arrived at the venue.,en,,157.0,0,0,0,,2026-04-18 15:44:42+00:00,not_target,just arrived at the venue.,False,False,False,False,0,0,neutral
P0000930160,platform_d,49726,2026-04-18T10:27:39+00:00,"Not bad at all actually, having a good time.",en,Mumbai,118.0,2,0,0,,2026-04-18 10:27:39+00:00,not_target,"not bad at all actually, having a good time.",False,False,False,False,0,1,positive
P0000489731,platform_b,12478,2026-04-18T14:07:11+00:00,The music here is so good.,pt,,3994.0,44,9,5,,2026-04-18 14:07:11+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000070039,platform_b,1501,04-18-26 10:26:09,The Kestrel event team needs to fix this.,en,,16.0,1,0,0,,2026-04-18 10:26:09+00:00,ambiguous,the kestrel event team needs to fix this.,False,False,False,False,0,0,neutral
P0000250251,platform_b,36538,04-18-26 14:27:27,Waiting for the next set to start.,hi,,407.0,5,1,1,2026-04-29 18:56:23+00:00,2026-04-18 14:27:27+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0000837561,platform_b,1994,2026-04-18T12:38:26+00:00,That performance was incredible.,en,,114.0,0,0,1,,2026-04-18 12:38:26+00:00,not_target,that performance was incredible.,False,False,False,False,0,1,positive
P0000150325,platform_c,35275,2026/04/18 20:29:54,Kestrel crowd is getting huge near gate three.,hinglish,Chennai,36.0,1,0,0,,2026-04-18 20:29:54+00:00,relevant,kestrel crowd is getting huge near gate three.,False,False,False,False,0,0,neutral
P0000681580,platform_b,36050,04-18-26 19:32:37,"great, another hour in this queue 🙃",pt,,2217.0,25,4,2,2026-04-29 06:55:17+00:00,2026-04-18 19:32:37+00:00,relevant,"great, another hour in this queue 🙃",False,False,False,False,0,-1,negative
P0000930933,platform_d,1718,04-18-26 16:48:34,The music here is so good.,en,Madras,740.0,10,1,0,,2026-04-18 16:48:34+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000149230,platform_b,11344,1776515429000,This place is packed but the vibe is great.,hinglish,,93.0,2,0,0,,2026-04-18 12:30:29+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000827600,platform_d,57951,2026/04/18 13:39:14,Having a great time with friends.,pt,Mumbai,56.0,2,0,0,,2026-04-18 13:39:14+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000422435,platform_c,20483,1776527547000,,en,CHENNAI,108.0,1,0,0,,2026-04-18 15:52:27+00:00,unknown,,False,False,False,False,0,0,neutral
P0000228253,platform_c,19746,18-04-2026 14:53:36,"great, another hour in this queue 🙃",en,Mumbai,216.0,1,0,0,,2026-04-18 14:53:36+00:00,relevant,"great, another hour in this queue 🙃",False,False,False,False,0,-1,negative
P0000168473,platform_c,50006,04-18-26 15:01:57,The kestrel is back near the old bridge.,en,Bangalore,568.0,5,0,0,,2026-04-18 15:01:57+00:00,ambiguous,the kestrel is back near the old bridge.,False,False,False,False,0,0,neutral
P0001073568,platform_a,71918,18-04-2026 21:05:24,Kestrel giveaway!!! Claim now!!!,en,Hyd,5733.0,3,2,2,,2026-04-18 21:05:24+00:00,ambiguous,kestrel giveaway!!! claim now!!!,True,False,False,True,1,0,neutral
